月份/時間,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,4,15.7,26.2,34.8,40.5,42.4,39.9,33.7,24.7,14,22,0
2,0,6.866666667,19.16666667,30.53333333,40.3,47.43333333,50.23333333,47.4,40.16666667,30.2,18.73333333,19.6,0.366666667
3,0,9.733333333,22.63333333,34.86666667,45.8,54.36666667,58.06666667,54.9,46.63333333,35.7,23.46666667,17.2,0.733333333
4,0,12.6,26.1,39.2,51.3,61.3,65.9,62.4,53.1,41.2,28.2,14.8,1.1
5,3.2,15.9,29.33333333,42.53333333,55.13333333,66.36666667,73.7,66.96666667,56.2,190.4,30.56666667,17.23333333,3.8
6,6.4,19.2,32.56666667,45.86666667,58.96666667,71.43333333,81.5,71.53333333,59.3,339.6,32.93333333,19.66666667,6.5
7,9.6,22.5,35.8,49.2,62.8,76.5,89.3,76.1,62.4,488.8,35.3,22.1,9.2
8,7.2,20.33333333,33.66666667,46.93333333,59.9,72.03333333,81.5,72.66666667,61.76666667,342.6333333,36.2,23,9.9
9,4.8,18.16666667,31.53333333,44.66666667,57,67.56666667,73.7,69.23333333,61.13333333,196.4666667,37.1,23.9,10.6
10,2.4,16,29.4,42.4,54.1,63.1,65.9,65.8,60.5,50.3,38,24.8,11.3
